event_date,amount,direction,category,description
2024-08-01,78.21,debit,groceries,Weekly produce market
2024-08-02,48.23,debit,transport,Vehicle charging
2024-08-04,514.8,debit,rent,Monthly rent
2024-08-08,115.84,debit,utilities,Electricity and water bill
2024-08-08,76.84,debit,groceries,Weekly produce market
2024-08-09,34.08,debit,transport,Local taxi
2024-08-12,41.0,debit,gym,Community fitness plan
2024-08-12,97.14,debit,dining,Lunch with colleagues
2024-08-13,27.0,debit,music_subscription,Music service subscription
2024-08-15,2047.68,credit,salary,Payroll credit
2024-08-15,18.0,debit,delivery_membership,Delivery service plan
2024-08-15,63.38,debit,groceries,Supermarket basket
2024-08-16,64.39,debit,entertainment,Games and recreation
2024-08-16,36.31,debit,transport,Vehicle charging
2024-08-18,71.67,debit,shopping,Card authorization
2024-08-20,71.67,debit,shopping,Settled card purchase
2024-08-22,74.3,debit,groceries,Weekly produce market
2024-08-23,29.56,debit,transport,Vehicle charging
2024-08-26,61.31,debit,dining,Family dinner
2024-08-29,87.97,debit,groceries,Fresh food shop
2024-08-30,39.25,debit,transport,Local taxi
