Date,Event,Amount,Running Balance
2024-09-05,INITIAL BALANCE,0.0,1992.54
2024-09-08,utilities (debit),104.89,1887.65
2024-09-08,utilities (debit),121.05,1766.6
2024-09-08,utilities (debit),117.09,1649.51
2024-09-08,utilities (debit),128.02,1521.49
2024-09-08,utilities (debit),115.84,1405.65
2024-09-12,gym (debit),41.0,1364.65
2024-09-12,gym (debit),41.0,1323.65
2024-09-12,gym (debit),41.0,1282.65
2024-09-12,gym (debit),41.0,1241.65
2024-09-12,gym (debit),41.0,1200.65
2024-09-13,music_subscription (debit),27.0,1173.65
2024-09-13,music_subscription (debit),27.0,1146.65
2024-09-13,music_subscription (debit),27.0,1119.65
2024-09-13,music_subscription (debit),27.0,1092.65
2024-09-13,music_subscription (debit),27.0,1065.65
2024-09-15,salary (credit),2844.0,3909.65
2024-09-15,delivery_membership (debit),18.0,3891.65
2024-09-15,salary (credit),2844.0,6735.65
2024-09-15,delivery_membership (debit),18.0,6717.65
2024-09-15,salary (credit),2844.0,9561.65
2024-09-15,delivery_membership (debit),18.0,9543.65
2024-09-15,salary (credit),2047.68,11591.33
2024-09-15,delivery_membership (debit),18.0,11573.33
2024-09-15,salary (credit),2047.68,13621.01
2024-09-15,delivery_membership (debit),18.0,13603.01
2024-10-04,rent (debit),514.8,13088.21
2024-10-04,rent (debit),514.8,12573.41
2024-10-04,rent (debit),514.8,12058.61
2024-10-04,rent (debit),514.8,11543.81
2024-10-04,rent (debit),514.8,11029.01
2024-10-04,rent (debit),514.8,10514.21
2024-10-08,utilities (debit),104.89,10409.32
2024-10-08,utilities (debit),121.05,10288.27
2024-10-08,utilities (debit),117.09,10171.18
2024-10-08,utilities (debit),128.02,10043.16
2024-10-08,utilities (debit),115.84,9927.32
2024-10-12,gym (debit),41.0,9886.32
2024-10-12,gym (debit),41.0,9845.32
2024-10-12,gym (debit),41.0,9804.32
2024-10-12,gym (debit),41.0,9763.32
2024-10-12,gym (debit),41.0,9722.32
2024-10-13,music_subscription (debit),27.0,9695.32
2024-10-13,music_subscription (debit),27.0,9668.32
2024-10-13,music_subscription (debit),27.0,9641.32
2024-10-13,music_subscription (debit),27.0,9614.32
2024-10-13,music_subscription (debit),27.0,9587.32
2024-10-15,salary (credit),2844.0,12431.32
2024-10-15,delivery_membership (debit),18.0,12413.32
2024-10-15,salary (credit),2844.0,15257.32
2024-10-15,delivery_membership (debit),18.0,15239.32
2024-10-15,salary (credit),2844.0,18083.32
2024-10-15,delivery_membership (debit),18.0,18065.32
2024-10-15,salary (credit),2047.68,20113.0
2024-10-15,delivery_membership (debit),18.0,20095.0
2024-10-15,salary (credit),2047.68,22142.68
2024-10-15,delivery_membership (debit),18.0,22124.68
2024-11-04,rent (debit),514.8,21609.88
2024-11-04,rent (debit),514.8,21095.08
2024-11-04,rent (debit),514.8,20580.28
2024-11-04,rent (debit),514.8,20065.48
2024-11-04,rent (debit),514.8,19550.68
2024-11-04,rent (debit),514.8,19035.88
2024-11-08,utilities (debit),104.89,18930.99
2024-11-08,utilities (debit),121.05,18809.94
2024-11-08,utilities (debit),117.09,18692.85
2024-11-08,utilities (debit),128.02,18564.83
2024-11-08,utilities (debit),115.84,18448.99
2024-11-12,gym (debit),41.0,18407.99
2024-11-12,gym (debit),41.0,18366.99
2024-11-12,gym (debit),41.0,18325.99
2024-11-12,gym (debit),41.0,18284.99
2024-11-12,gym (debit),41.0,18243.99
2024-11-13,music_subscription (debit),27.0,18216.99
2024-11-13,music_subscription (debit),27.0,18189.99
2024-11-13,music_subscription (debit),27.0,18162.99
2024-11-13,music_subscription (debit),27.0,18135.99
2024-11-13,music_subscription (debit),27.0,18108.99
2024-11-15,salary (credit),2844.0,20952.99
2024-11-15,delivery_membership (debit),18.0,20934.99
2024-11-15,salary (credit),2844.0,23778.99
2024-11-15,delivery_membership (debit),18.0,23760.99
2024-11-15,salary (credit),2844.0,26604.99
2024-11-15,delivery_membership (debit),18.0,26586.99
2024-11-15,salary (credit),2047.68,28634.67
2024-11-15,delivery_membership (debit),18.0,28616.67
2024-11-15,salary (credit),2047.68,30664.35
2024-11-15,delivery_membership (debit),18.0,30646.35
2024-12-04,rent (debit),514.8,30131.55
2024-12-04,rent (debit),514.8,29616.75
2024-12-04,rent (debit),514.8,29101.95
2024-12-04,rent (debit),514.8,28587.15
2024-12-04,rent (debit),514.8,28072.35
2024-12-04,rent (debit),514.8,27557.55
